"","file_name","number_of_clusers_with_p_less_than_0.05","lowest_p_value"
"1","perm_1_Summary.of.stats_Random.Group.Allocation.csv",15,0.00073451321401625
"2","perm_10_Summary.of.stats_Random.Group.Allocation.csv",30,2.10340534273901e-05
"3","perm_100_Summary.of.stats_Random.Group.Allocation.csv",25,0.00256419142261498
"4","perm_1000_Summary.of.stats_Random.Group.Allocation.csv",26,1.44387709109525e-05
"5","perm_101_Summary.of.stats_Random.Group.Allocation.csv",10,0.00826541204546085
"6","perm_102_Summary.of.stats_Random.Group.Allocation.csv",18,8.57429170226311e-05
"7","perm_103_Summary.of.stats_Random.Group.Allocation.csv",31,5.47340508954015e-05
"8","perm_104_Summary.of.stats_Random.Group.Allocation.csv",23,0.000651602442758862
"9","perm_105_Summary.of.stats_Random.Group.Allocation.csv",24,0.000308698276246517
"10","perm_106_Summary.of.stats_Random.Group.Allocation.csv",15,0.00109395780420293
"11","perm_107_Summary.of.stats_Random.Group.Allocation.csv",24,0.00135326375743405
"12","perm_108_Summary.of.stats_Random.Group.Allocation.csv",25,0.000201801922773622
"13","perm_109_Summary.of.stats_Random.Group.Allocation.csv",22,0.000362462189902602
"14","perm_11_Summary.of.stats_Random.Group.Allocation.csv",15,0.00521856812615215
"15","perm_110_Summary.of.stats_Random.Group.Allocation.csv",21,0.000882914967534452
"16","perm_111_Summary.of.stats_Random.Group.Allocation.csv",16,0.0015640124688361
"17","perm_112_Summary.of.stats_Random.Group.Allocation.csv",26,1.98780489972399e-05
"18","perm_113_Summary.of.stats_Random.Group.Allocation.csv",16,0.000854962548568377
"19","perm_114_Summary.of.stats_Random.Group.Allocation.csv",20,9.96393185376131e-05
"20","perm_115_Summary.of.stats_Random.Group.Allocation.csv",23,0.0017081676783247
"21","perm_116_Summary.of.stats_Random.Group.Allocation.csv",22,0.000554583856775131
"22","perm_117_Summary.of.stats_Random.Group.Allocation.csv",23,0.000632922484370645
"23","perm_118_Summary.of.stats_Random.Group.Allocation.csv",35,0.000788395395670921
"24","perm_119_Summary.of.stats_Random.Group.Allocation.csv",15,0.00395341557175484
"25","perm_12_Summary.of.stats_Random.Group.Allocation.csv",21,0.000133234925543623
"26","perm_120_Summary.of.stats_Random.Group.Allocation.csv",17,0.00706547694002111
"27","perm_121_Summary.of.stats_Random.Group.Allocation.csv",18,0.002375716154404
"28","perm_122_Summary.of.stats_Random.Group.Allocation.csv",27,0.00020573221904778
"29","perm_123_Summary.of.stats_Random.Group.Allocation.csv",15,0.00783494542565841
"30","perm_124_Summary.of.stats_Random.Group.Allocation.csv",30,6.29455717082119e-05
"31","perm_125_Summary.of.stats_Random.Group.Allocation.csv",20,7.58435520160307e-05
"32","perm_126_Summary.of.stats_Random.Group.Allocation.csv",21,0.00124040931107206
"33","perm_127_Summary.of.stats_Random.Group.Allocation.csv",25,0.00318823693573215
"34","perm_128_Summary.of.stats_Random.Group.Allocation.csv",21,0.00137627403419588
"35","perm_129_Summary.of.stats_Random.Group.Allocation.csv",21,0.000382787489555822
"36","perm_13_Summary.of.stats_Random.Group.Allocation.csv",20,0.000472952364687194
"37","perm_130_Summary.of.stats_Random.Group.Allocation.csv",20,2.37949535480516e-05
"38","perm_131_Summary.of.stats_Random.Group.Allocation.csv",29,0.000832151616201733
