,A,B,C,D,E,F,G,H
1,70,88,87,80,102,81,82,74
2,94,90,82,97,71,98,74,95
3,82,79,71,65,62,97,79,74
4,82,75,105,94,80,73,90,85
5,62,77,82,91,85,75,83,91
6,58,88,99,89,94,79,72,62
7,84,75,81,88,84,94,77,92
8,72,106,78,74,109,93,89,83
9,75,78,80,80,96,114,83,96
10,87,84,99,86,115,93,94,93
11,66,77,108,91,104,78,93,80
12,88,64,60,91,72,97,56,65
,,,,,,,,
,A,B,C,D,E,F,G,H
13,57,72,57,99,92,121,90,79
14,67,76,91,112,86,95,94,98
15,62,85,80,87,94,76,112,94
16,79,92,76,93,89,76,85,108
17,85,97,104,96,91,84,100,98
18,79,80,67,77,94,97,90,91
19,75,100,91,75,99,97,92,93
20,72,92,99,105,94,95,100,92
21,182,91,101,103,91,86,86,92
22,83,102,100,101,66,90,108,94
23,59,85,85,103,85,102,102,89
24,97,102,68,108,102,88,101,69
,,,,,,,,
,A,B,C,D,E,F,G,H
25,102,109,103,121,78,95,92,88
26,93,105,95,87,104,82,103,95
27,72,79,90,79,62,72,62,88
28,61,90,94,79,96,91,90,97
29,68,72,90,81,97,86,78,77
30,83,72,97,100,81,67,73,101
31,69,78,71,93,95,77,96,105
32,69,94,95,93,94,85,85,86
33,63,73,86,62,95,105,91,87
34,84,69,103,74,103,80,73,95
35,75,89,98,98,95,103,105,87
36,78,84,104,83,79,101,92,58
,,,,,,,,
,,,,,,,,
,A,B,C,D,E,F,G,H
37,96,121,139,101,121,120,127,109
38,105,98,84,114,135,73,119,106
39,83,90,95,101,82,81,129,101
40,93,77,81,102,103,106,108,89
41,97,107,101,114,106,85,96,133
42,91,86,110,100,102,137,111,105
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0
